"tool_id","tool_slug","workflow_slug","is_primary"
"1a4aed76-7839-419f-a710-b20c9c00a4ff","call-to-action-generator","workflow-call-to-action-generator-professional","false"
"baa6c8f0-6ef9-48df-9ad8-12ff3fca484e","youtube-title-generator","workflow-youtube-title-generator-quick","false"
"baa6c8f0-6ef9-48df-9ad8-12ff3fca484e","youtube-title-generator","workflow-youtube-title-generator-professional","false"
"c251998a-1e8d-48ac-9a98-16898f48b709","customer-service-reply-generator","workflow-customer-service-reply-generator-quick","false"
"c251998a-1e8d-48ac-9a98-16898f48b709","customer-service-reply-generator","workflow-customer-service-reply-generator-professional","false"
"9d8e203c-2d3d-4f80-8bb9-b3748edc53fb","x-post-generator","workflow-x-post-generator-quick","false"
"9d8e203c-2d3d-4f80-8bb9-b3748edc53fb","x-post-generator","workflow-x-post-generator-professional","false"
"d40f6033-4da3-48b2-892a-f923ac845028","linkedin-post-generator","workflow-linkedin-post-generator-quick","false"
"d40f6033-4da3-48b2-892a-f923ac845028","linkedin-post-generator","workflow-linkedin-post-generator-professional","false"
"8f53b565-7927-422f-9596-0683813831a2","tiktok-caption-generator","workflow-tiktok-caption-generator-quick","false"
"8f53b565-7927-422f-9596-0683813831a2","tiktok-caption-generator","workflow-tiktok-caption-generator-professional","false"
"134a632f-aff6-4b90-9373-58155aead447","landing-page-copy-generator","workflow-landing-page-copy-generator-quick","false"
"134a632f-aff6-4b90-9373-58155aead447","landing-page-copy-generator","workflow-landing-page-copy-generator-professional","false"
"05a7c9cd-9bad-4846-b66a-55ec59907df2","content-ideas-generator","workflow-content-ideas-generator-quick","false"
"05a7c9cd-9bad-4846-b66a-55ec59907df2","content-ideas-generator","workflow-content-ideas-generator-professional","false"
"699a3814-b2bf-4317-ba5a-ec992e13db09","faq-generator","workflow-faq-generator-quick","false"
"699a3814-b2bf-4317-ba5a-ec992e13db09","faq-generator","workflow-faq-generator-professional","false"
"5d895ade-b002-40e3-975a-9c8297324c93","instagram-caption-generator","workflow-instagram-caption-generator-quick","false"
"5d895ade-b002-40e3-975a-9c8297324c93","instagram-caption-generator","workflow-instagram-caption-generator-professional","false"
"610f4f10-1b58-487e-89ee-74c48f37e25a","email-writer","workflow-email-writer-quick","false"
"610f4f10-1b58-487e-89ee-74c48f37e25a","email-writer","workflow-email-writer-professional","false"
"b0f4c0de-4906-456e-a0ea-c4e149dba050","slogan-generator","workflow-slogan-generator-quick","false"
"b0f4c0de-4906-456e-a0ea-c4e149dba050","slogan-generator","workflow-slogan-generator-professional","false"
"5b21ae63-ba06-4b8f-afa2-afa2bb531141","business-name-generator","workflow-business-name-generator-quick","false"
"5b21ae63-ba06-4b8f-afa2-afa2bb531141","business-name-generator","workflow-business-name-generator-professional","false"
"a7319645-ab41-4258-a1ec-993aeb7324d4","headline-generator","workflow-headline-generator-quick","false"
"a7319645-ab41-4258-a1ec-993aeb7324d4","headline-generator","workflow-headline-generator-professional","false"
"6c65ab0f-4eec-42db-a972-3133f91f7ddf","proofreading-assistant","workflow-proofreading-assistant-quick","false"
"6c65ab0f-4eec-42db-a972-3133f91f7ddf","proofreading-assistant","workflow-proofreading-assistant-professional","false"
"a68b58f1-3778-45ae-a201-4ec86c968da6","square-root-calculator","workflow-square-root-calculator-standard","true"
"cf823022-6a0c-4820-ac49-f0ed78f54c38","ratio-calculator","workflow-ratio-calculator-standard","true"
"c291cde0-dc4e-44aa-8759-dda3e470b3bb","sample-size-calculator","workflow-sample-size-calculator-standard","true"
"c1fadd50-be31-44ea-baf4-08d4a40d1ba8","gpa-4-to-5-converter","workflow-gpa-4-to-5-converter-standard","true"
"aefe9e75-f57d-42cb-ab9a-211b3a5feb5c","cbm-calculator","workflow-cbm-calculator-standard","true"
"ee8587c4-3de2-48c7-bca6-ca61f0c8c529","centimeter-to-meter-converter","workflow-centimeter-to-meter-converter-standard","true"
