"workflow_slug","skill_slug","sort_order"
"workflow-kilogram-to-pound-converter-standard","skill-converter-tools-conversion","10"
"workflow-kilogram-to-pound-converter-standard","skill-engine-formula","20"
"workflow-price-with-vat-calculator-standard","skill-finance-tools-calculation","10"
"workflow-price-with-vat-calculator-standard","skill-engine-formula","20"
"workflow-pound-to-kilogram-converter-standard","skill-converter-tools-conversion","10"
"workflow-pound-to-kilogram-converter-standard","skill-engine-formula","20"
"workflow-celsius-to-fahrenheit-converter-standard","skill-converter-tools-conversion","10"
"workflow-celsius-to-fahrenheit-converter-standard","skill-engine-formula","20"
"workflow-percentage-of-amount-calculator-standard","skill-finance-tools-calculation","10"
"workflow-percentage-of-amount-calculator-standard","skill-engine-formula","20"
"workflow-gpa-4-to-percentage-calculator-standard","skill-education-tools-calculation","10"
"workflow-gpa-4-to-percentage-calculator-standard","skill-engine-formula","20"
"workflow-percentage-change-calculator-standard","skill-finance-tools-calculation","10"
"workflow-percentage-change-calculator-standard","skill-engine-formula","20"
"workflow-gpa-5-to-percentage-calculator-standard","skill-education-tools-calculation","10"
"workflow-gpa-5-to-percentage-calculator-standard","skill-engine-formula","20"
"workflow-reverse-percentage-calculator-standard","skill-finance-tools-calculation","10"
"workflow-reverse-percentage-calculator-standard","skill-engine-formula","20"
"workflow-fahrenheit-to-celsius-converter-standard","skill-converter-tools-conversion","10"
"workflow-fahrenheit-to-celsius-converter-standard","skill-engine-formula","20"
"workflow-rectangle-area-calculator-standard","skill-converter-tools-calculation","10"
"workflow-rectangle-area-calculator-standard","skill-engine-formula","20"
"workflow-land-share-area-calculator-standard","skill-converter-tools-calculation","10"
"workflow-land-share-area-calculator-standard","skill-engine-formula","20"
"workflow-box-volume-liter-calculator-standard","skill-converter-tools-calculation","10"
"workflow-box-volume-liter-calculator-standard","skill-engine-formula","20"
"workflow-bmi-calculator-standard","skill-health-tools-calculation","10"
"workflow-bmi-calculator-standard","skill-engine-formula","20"
"workflow-daily-water-intake-calculator-standard","skill-health-tools-calculation","10"
"workflow-daily-water-intake-calculator-standard","skill-engine-formula","20"
"workflow-bmr-male-calculator-standard","skill-health-tools-calculation","10"
"workflow-bmr-male-calculator-standard","skill-engine-formula","20"
"workflow-installment-calculator-standard","skill-finance-tools-calculation","10"
"workflow-installment-calculator-standard","skill-engine-formula","20"
"workflow-loan-payment-calculator-standard","skill-finance-tools-calculation","10"
"workflow-loan-payment-calculator-standard","skill-engine-formula","20"
"workflow-savings-goal-calculator-standard","skill-finance-tools-calculation","10"
"workflow-savings-goal-calculator-standard","skill-engine-formula","20"
"workflow-bmr-female-calculator-standard","skill-health-tools-calculation","10"
"workflow-bmr-female-calculator-standard","skill-engine-formula","20"
"workflow-hourly-wage-calculator-standard","skill-employment-tools-calculation","10"
"workflow-hourly-wage-calculator-standard","skill-engine-formula","20"
"workflow-zakat-calculator-standard","skill-finance-tools-calculation","10"
"workflow-zakat-calculator-standard","skill-engine-formula","20"
"workflow-gold-zakat-calculator-standard","skill-finance-tools-calculation","10"
"workflow-gold-zakat-calculator-standard","skill-engine-formula","20"
"workflow-net-after-tax-calculator-standard","skill-finance-tools-calculation","10"
"workflow-net-after-tax-calculator-standard","skill-engine-formula","20"
"workflow-daily-wage-calculator-standard","skill-employment-tools-calculation","10"
"workflow-daily-wage-calculator-standard","skill-engine-formula","20"
"workflow-overtime-pay-calculator-standard","skill-employment-tools-calculation","10"
"workflow-overtime-pay-calculator-standard","skill-engine-formula","20"
"workflow-retirement-years-remaining-calculator-standard","skill-employment-tools-calculation","10"
"workflow-retirement-years-remaining-calculator-standard","skill-engine-formula","20"
"workflow-employer-payroll-cost-standard","skill-employment-tools-calculation","10"
"workflow-employer-payroll-cost-standard","skill-engine-formula","20"
"workflow-operating-leverage-calculator-standard","skill-business-tools-calculation","10"
"workflow-operating-leverage-calculator-standard","skill-engine-formula","20"
"workflow-sales-per-employee-calculator-standard","skill-business-tools-calculation","10"
"workflow-sales-per-employee-calculator-standard","skill-engine-formula","20"
"workflow-revenue-per-customer-calculator-standard","skill-business-tools-calculation","10"
"workflow-revenue-per-customer-calculator-standard","skill-engine-formula","20"
"workflow-inventory-days-calculator-standard","skill-business-tools-calculation","10"
"workflow-inventory-days-calculator-standard","skill-engine-formula","20"
"workflow-receivable-days-calculator-standard","skill-business-tools-calculation","10"
"workflow-receivable-days-calculator-standard","skill-engine-formula","20"
"workflow-payable-days-calculator-standard","skill-business-tools-calculation","10"
"workflow-payable-days-calculator-standard","skill-engine-formula","20"
"workflow-square-diagonal-calculator-standard","skill-math-tools-calculation","10"
"workflow-square-diagonal-calculator-standard","skill-engine-formula","20"
"workflow-cash-conversion-cycle-calculator-standard","skill-business-tools-calculation","10"
"workflow-cash-conversion-cycle-calculator-standard","skill-engine-formula","20"
"workflow-customer-concentration-calculator-standard","skill-business-tools-calculation","10"
"workflow-customer-concentration-calculator-standard","skill-engine-formula","20"
"workflow-weighted-mean-calculator-standard","skill-math-tools-calculation","10"
"workflow-weighted-mean-calculator-standard","skill-engine-formula","20"
"workflow-proportion-value-calculator-standard","skill-math-tools-calculation","10"
"workflow-proportion-value-calculator-standard","skill-engine-formula","20"
"workflow-geometric-mean-two-values-standard","skill-math-tools-calculation","10"
"workflow-geometric-mean-two-values-standard","skill-engine-formula","20"
"workflow-harmonic-mean-two-values-standard","skill-math-tools-calculation","10"
"workflow-harmonic-mean-two-values-standard","skill-engine-formula","20"
"workflow-circle-circumference-calculator-standard","skill-math-tools-calculation","10"
"workflow-circle-circumference-calculator-standard","skill-engine-formula","20"
"workflow-trapezoid-area-calculator-standard","skill-math-tools-calculation","10"
"workflow-trapezoid-area-calculator-standard","skill-engine-formula","20"
"workflow-regular-polygon-angle-calculator-standard","skill-math-tools-calculation","10"
"workflow-regular-polygon-angle-calculator-standard","skill-engine-formula","20"
"workflow-minutes-to-decimal-hours-standard","skill-date-time-tools-calculation","10"
"workflow-minutes-to-decimal-hours-standard","skill-engine-formula","20"
"workflow-decimal-hours-to-minutes-standard","skill-date-time-tools-calculation","10"
"workflow-decimal-hours-to-minutes-standard","skill-engine-formula","20"
"workflow-workdays-to-hours-calculator-standard","skill-date-time-tools-calculation","10"
"workflow-workdays-to-hours-calculator-standard","skill-engine-formula","20"
"workflow-shifts-to-hours-calculator-standard","skill-date-time-tools-calculation","10"
"workflow-shifts-to-hours-calculator-standard","skill-engine-formula","20"
"workflow-weekly-hours-to-monthly-hours-standard","skill-date-time-tools-calculation","10"
"workflow-weekly-hours-to-monthly-hours-standard","skill-engine-formula","20"
"workflow-meeting-person-hours-calculator-standard","skill-date-time-tools-calculation","10"
"workflow-meeting-person-hours-calculator-standard","skill-engine-formula","20"
"workflow-production-time-per-unit-standard","skill-date-time-tools-calculation","10"
"workflow-production-time-per-unit-standard","skill-engine-formula","20"
"workflow-task-throughput-per-hour-standard","skill-date-time-tools-calculation","10"
"workflow-task-throughput-per-hour-standard","skill-engine-formula","20"
"workflow-target-weight-by-bmi-standard","skill-health-tools-calculation","10"
"workflow-target-weight-by-bmi-standard","skill-engine-formula","20"
"workflow-walking-pace-calculator-standard","skill-health-tools-calculation","10"
"workflow-walking-pace-calculator-standard","skill-engine-formula","20"
"workflow-running-speed-calculator-standard","skill-health-tools-calculation","10"
"workflow-running-speed-calculator-standard","skill-engine-formula","20"
"workflow-protein-target-calculator-standard","skill-health-tools-calculation","10"
"workflow-protein-target-calculator-standard","skill-engine-formula","20"
"workflow-body-fat-mass-calculator-standard","skill-health-tools-calculation","10"
"workflow-body-fat-mass-calculator-standard","skill-engine-formula","20"
"workflow-lean-body-mass-calculator-standard","skill-health-tools-calculation","10"
"workflow-lean-body-mass-calculator-standard","skill-engine-formula","20"
"workflow-waist-height-ratio-calculator-standard","skill-health-tools-calculation","10"
"workflow-waist-height-ratio-calculator-standard","skill-engine-formula","20"
"workflow-calorie-deficit-duration-calculator-standard","skill-health-tools-calculation","10"
"workflow-calorie-deficit-duration-calculator-standard","skill-engine-formula","20"
"workflow-square-foot-to-square-meter-standard","skill-converter-tools-calculation","10"
"workflow-square-foot-to-square-meter-standard","skill-engine-formula","20"
"workflow-course-weighted-score-calculator-standard","skill-education-tools-calculation","10"
"workflow-course-weighted-score-calculator-standard","skill-engine-formula","20"
"workflow-final-exam-required-score-standard","skill-education-tools-calculation","10"
"workflow-final-exam-required-score-standard","skill-engine-formula","20"
"workflow-attendance-rate-calculator-standard","skill-education-tools-calculation","10"
"workflow-attendance-rate-calculator-standard","skill-engine-formula","20"
"workflow-study-hours-per-subject-standard","skill-education-tools-calculation","10"
"workflow-study-hours-per-subject-standard","skill-engine-formula","20"
"workflow-assignment-average-calculator-standard","skill-education-tools-calculation","10"
"workflow-assignment-average-calculator-standard","skill-engine-formula","20"
"workflow-grade-improvement-rate-standard","skill-education-tools-calculation","10"
"workflow-grade-improvement-rate-standard","skill-engine-formula","20"
"workflow-completed-credits-rate-standard","skill-education-tools-calculation","10"
"workflow-completed-credits-rate-standard","skill-engine-formula","20"
"workflow-points-needed-for-target-standard","skill-education-tools-calculation","10"
"workflow-points-needed-for-target-standard","skill-engine-formula","20"
"workflow-net-salary-after-deductions-standard","skill-employment-tools-calculation","10"
"workflow-net-salary-after-deductions-standard","skill-engine-formula","20"
"workflow-annual-compensation-calculator-standard","skill-employment-tools-calculation","10"
"workflow-annual-compensation-calculator-standard","skill-engine-formula","20"
"workflow-kilometer-hour-to-mile-hour-standard","skill-converter-tools-calculation","10"
"workflow-kilometer-hour-to-mile-hour-standard","skill-engine-formula","20"
"workflow-vacation-pay-estimate-standard","skill-employment-tools-calculation","10"
"workflow-vacation-pay-estimate-standard","skill-engine-formula","20"
"workflow-bonus-amount-calculator-standard","skill-employment-tools-calculation","10"
"workflow-bonus-amount-calculator-standard","skill-engine-formula","20"
"workflow-commission-plus-salary-standard","skill-employment-tools-calculation","10"
"workflow-commission-plus-salary-standard","skill-engine-formula","20"
"workflow-unpaid-leave-deduction-standard","skill-employment-tools-calculation","10"
"workflow-unpaid-leave-deduction-standard","skill-engine-formula","20"
"workflow-shift-premium-pay-standard","skill-employment-tools-calculation","10"
"workflow-shift-premium-pay-standard","skill-engine-formula","20"
"workflow-customer-lifetime-value-simple-standard","skill-marketing-tools-calculation","10"
"workflow-customer-lifetime-value-simple-standard","skill-engine-formula","20"
